Agent,w1,w2,w3,w4
agent_0,1.0437628187,0.986874131,0.9688391865,0.9038876347
agent_1,0.828360657,1.1914147379,0.8971925578,1.1831197629
agent_2,1.0884377827,0.8319346241,0.8846424559,1.0887692958
agent_3,0.8381339081,0.8083020888,1.0981207383,1.0262367559
agent_4,1.0382725613,0.8588980325,0.8026698631,0.8819736421
agent_5,0.8586267784,1.0633507864,1.112779827,0.8291171361
agent_6,0.9735578307,0.9433494324,0.8042949654,0.943194094
agent_7,1.0113057246,0.9888835681,0.850574308,0.9074395806
agent_8,1.1819288286,0.8150123512,1.0889532014,0.9196828115
agent_9,0.9932207335,1.1882087536,1.1422132714,0.834383137
agent_10,1.1541416253,0.973588776,1.076859193,0.8457011039
agent_11,1.0497484956,0.8224991961,0.8053155675,1.1021005225
agent_12,1.0265279169,1.0578663458,0.9988478307,1.010588566
agent_13,1.154868103,0.9790077771,1.1970303247,0.9659591452
agent_14,1.1440424048,0.8097418857,0.8197711156,0.9156177388
agent_15,1.0090391649,1.1634827111,0.9975695055,1.1179821937
agent_16,1.1486383629,1.1315931962,0.9162496361,1.1290208661
agent_17,0.9072688341,1.1930411328,1.0474465423,1.0212396795
agent_18,1.0655377809,1.0884327325,1.1230255058,1.0292237584
agent_19,0.9251259607,1.1665520537,1.1139027599,1.0802600398
agent_20,1.1699850776,0.819288448,1.0791747737,1.097718657
agent_21,1.0045338138,0.8372882137,0.8928378066,0.9391280469
agent_22,1.0278686546,0.8505944914,0.8197263372,0.9972719428
agent_23,0.8934337155,0.9240643337,0.9803264993,1.0533951425
agent_24,0.8550204498,1.0424038127,0.9082763278,0.8894182296
agent_25,0.9433266296,1.0095860723,1.1407488251,0.8543812571
agent_26,0.9239707901,1.1461307451,0.9108218614,1.1894840761
agent_27,1.1957981992,1.1455258914,1.0947898928,0.8878842644
agent_28,1.153063712,0.8100145148,1.073431029,1.1522499316
agent_29,1.0092833696,0.96776879,1.0386763786,1.1857774788
agent_30,1.1125383155,1.1170298422,1.0492789043,1.0250643749
agent_31,0.8776811743,1.1108584912,1.0868421645,0.9775798196
agent_32,1.0965491965,0.8764695568,1.1434080596,1.0299687739
agent_33,0.8970273268,1.1405763986,1.1345921261,1.0328798881
agent_34,0.8717776807,1.1026874264,1.1002531014,1.1246383717
agent_35,1.154322154,1.1604887584,1.0645828669,1.0233972027
agent_36,0.8555807483,0.9635829609,0.9534991993,1.1798846733
agent_37,1.1654611982,0.9068273183,1.0612216518,1.0966840227
agent_38,0.9747656247,1.1496786575,0.88759572,1.1495925746
agent_39,0.9001514863,0.8139324145,1.1680027459,0.9178802262
agent_40,0.9469334255,1.0083836753,0.9322631543,1.0433891932
agent_41,0.8328410315,1.1677606761,0.9445184739,1.1067912286
agent_42,0.98257431,1.08077708,1.0055473658,0.8614302121
agent_43,1.1675081693,0.9470832264,0.8040280381,1.0232649982
agent_44,1.037598348,1.1650874448,0.8721715104,0.829394705
agent_45,1.0665844858,0.9373742666,0.8220317685,0.9829595404
agent_46,0.9426646,0.9972416554,0.8162692727,0.8686426576
agent_47,1.1165311509,0.8385911362,1.1438539637,1.1151656233
agent_48,1.0443633626,1.1820560718,0.9071625984,0.913615553
agent_49,0.8932640985,0.8231905755,1.0040490039,0.9120858985
agent_50,1.0550136167,0.9212711576,1.1570023831,0.9798008008
agent_51,1.0180186285,1.0140699566,1.1663434792,0.9258872138
agent_52,0.8584470499,1.0804866466,0.8367769395,1.1927442439
agent_53,1.0062705073,1.0756761969,1.127245012,0.9266375998
agent_54,0.9583532923,0.8043911187,0.8024633785,0.9153037448
agent_55,1.1654678691,1.0101373181,0.8223478698,0.9838277598
agent_56,1.157289979,0.9694771992,0.8276777497,0.9540637679
agent_57,0.9758000863,0.8258317526,1.1145401922,1.1061438648
agent_58,1.1012519253,1.037164425,0.8227233145,1.152518784
agent_59,1.0776732062,0.9234859107,1.1424960123,0.9158825883
agent_60,1.1010610332,1.1654593787,0.918165337,1.166655888
agent_61,1.0309580567,1.1235813642,0.9626006413,1.1483018099
agent_62,0.9388394058,1.1525920461,0.9132389129,1.0847024716
agent_63,0.9436249281,0.9446012662,0.9589034249,0.8147481575
agent_64,1.0393074777,0.9680258728,1.1155396055,1.0797462745
agent_65,1.0802933088,0.9004993869,0.8000197148,0.9648070139
agent_66,0.8044026982,1.0608498033,0.8555406824,1.1309455257
agent_67,0.8589218831,1.0809628207,0.9661178669,1.0164600926
