Link,Travel,Waiting,Fuel,Toll
e0-1,19.831730,29.453237,25.000000,0.000000
e0-10,19.831730,29.453237,20.000000,2.000000
e1-0,19.831730,29.453237,15.000000,0.000000
e1-11,19.831730,29.453237,25.000000,2.500000
e1-2,19.831730,29.453237,20.000000,2.000000
e10-0,19.831730,29.453237,25.000000,2.500000
e10-11,19.831730,29.453237,15.000000,1.500000
e10-20,19.831730,29.453237,25.000000,2.500000
e11-1,19.831730,29.453237,25.000000,2.500000
e11-10,19.831730,29.453237,15.000000,1.500000
e11-12,19.831730,29.453237,20.000000,2.000000
e11-21,19.831730,29.453237,15.000000,1.500000
e12-11,19.831730,29.453237,25.000000,2.500000
e12-13,19.831730,29.453237,15.000000,1.500000
e12-2,19.831730,29.453237,15.000000,1.500000
e12-22,19.831730,29.453237,15.000000,1.500000
e13-12,19.831730,29.453237,15.000000,1.500000
e13-14,19.831730,29.453237,15.000000,1.500000
e13-23,19.831730,29.453237,15.000000,0.000000
e13-3,19.831730,29.453237,20.000000,2.000000
e14-13,19.831730,29.453237,25.000000,2.500000
e14-15,19.831730,29.453237,15.000000,1.500000
e14-24,19.831730,29.453237,25.000000,2.500000
e14-4,19.831730,29.453237,15.000000,1.500000
e15-14,19.831730,29.453237,25.000000,2.500000
e15-16,19.831730,29.453237,25.000000,2.500000
e15-25,19.831730,29.453237,15.000000,1.500000
e15-5,19.831730,29.453237,25.000000,2.500000
e16-15,19.831730,29.453237,20.000000,2.000000
e16-17,19.831730,29.453237,15.000000,1.500000
e16-26,19.831730,29.453237,15.000000,1.500000
e16-6,19.831730,29.453237,25.000000,2.500000
e17-16,19.831730,29.453237,25.000000,2.500000
e17-18,19.831730,29.453237,25.000000,2.500000
e17-27,19.831730,29.453237,25.000000,2.500000
e17-7,19.831730,29.453237,25.000000,2.500000
e18-17,19.831730,29.453237,25.000000,2.500000
e18-19,19.831730,29.453237,15.000000,1.500000
e18-28,19.831730,29.453237,15.000000,1.500000
e18-8,19.831730,29.453237,20.000000,2.000000
e19-18,19.831730,29.453237,15.000000,1.500000
e19-29,19.831730,29.453237,20.000000,2.000000
e19-9,19.831730,29.453237,15.000000,1.500000
e2-1,19.831730,29.453237,25.000000,2.500000
e2-12,19.831730,29.453237,15.000000,1.500000
e2-3,19.831730,29.453237,25.000000,2.500000
e20-10,19.831730,29.453237,15.000000,1.500000
e20-21,19.831730,29.453237,25.000000,2.500000
e20-30,19.831730,29.453237,20.000000,2.000000
e21-11,19.831730,29.453237,25.000000,2.500000
e21-20,19.831730,29.453237,25.000000,2.500000
e21-22,19.831730,29.453237,20.000000,2.000000
e21-31,19.831730,29.453237,15.000000,1.500000
e22-12,19.831730,29.453237,20.000000,2.000000
e22-21,19.831730,29.453237,25.000000,2.500000
e22-23,19.831730,29.453237,25.000000,2.500000
e22-32,19.831730,29.453237,25.000000,2.500000
e23-13,19.831730,29.453237,20.000000,2.000000
e23-22,19.831730,29.453237,15.000000,1.500000
e23-24,19.831730,29.453237,25.000000,2.500000
e23-33,19.831730,29.453237,20.000000,2.000000
e24-14,19.831730,29.453237,15.000000,1.500000
e24-23,19.831730,29.453237,15.000000,1.500000
e24-25,19.831730,29.453237,20.000000,2.000000
e24-34,19.831730,29.453237,15.000000,1.500000
e25-15,19.831730,29.453237,25.000000,2.500000
e25-24,19.831730,29.453237,25.000000,2.500000
e25-26,19.831730,29.453237,15.000000,1.500000
e25-35,19.831730,29.453237,15.000000,1.500000
e26-16,19.831730,29.453237,25.000000,2.500000
e26-25,19.831730,29.453237,25.000000,2.500000
e26-27,19.831730,29.453237,20.000000,2.000000
e26-36,19.831730,29.453237,20.000000,2.000000
e27-17,19.831730,29.453237,25.000000,2.500000
e27-26,19.831730,29.453237,20.000000,2.000000
e27-28,19.831730,29.453237,25.000000,0.000000
e27-37,19.831730,29.453237,15.000000,1.500000
e28-18,19.831730,29.453237,20.000000,0.000000
e28-27,19.831730,29.453237,15.000000,1.500000
e28-29,19.831730,29.453237,25.000000,2.500000
e28-38,19.831730,29.453237,20.000000,2.000000
e29-19,19.831730,29.453237,20.000000,2.000000
e29-28,19.831730,29.453237,25.000000,2.500000
e29-39,19.831730,29.453237,20.000000,2.000000
e3-13,19.831730,29.453237,25.000000,2.500000
e3-2,19.831730,29.453237,25.000000,2.500000
e3-4,19.831730,29.453237,20.000000,2.000000
e30-20,19.831730,29.453237,25.000000,2.500000
e30-31,19.831730,29.453237,15.000000,1.500000
e30-40,19.831730,29.453237,20.000000,2.000000
e31-21,19.831730,29.453237,25.000000,2.500000
e31-30,19.831730,29.453237,25.000000,2.500000
e31-32,19.831730,29.453237,25.000000,2.500000
e31-41,19.831730,29.453237,25.000000,0.000000
e32-22,19.831730,29.453237,20.000000,2.000000
e32-31,19.831730,29.453237,20.000000,2.000000
e32-33,19.831730,29.453237,20.000000,2.000000
e32-42,19.831730,29.453237,20.000000,2.000000
e33-23,19.831730,29.453237,15.000000,1.500000
e33-32,19.831730,29.453237,20.000000,2.000000
e33-34,19.831730,29.453237,20.000000,2.000000
e33-43,19.831730,29.453237,15.000000,0.000000
e34-24,19.831730,29.453237,15.000000,1.500000
e34-33,19.831730,29.453237,20.000000,2.000000
e34-35,19.831730,29.453237,15.000000,1.500000
e34-44,19.831730,29.453237,20.000000,2.000000
e35-25,19.831730,29.453237,20.000000,2.000000
e35-34,19.831730,29.453237,20.000000,2.000000
e35-36,19.831730,29.453237,15.000000,1.500000
e35-45,19.831730,29.453237,25.000000,2.500000
e36-26,19.831730,29.453237,15.000000,1.500000
e36-35,19.831730,29.453237,25.000000,2.500000
e36-37,19.831730,29.453237,25.000000,2.500000
e36-46,19.831730,29.453237,25.000000,2.500000
e37-27,19.831730,29.453237,15.000000,1.500000
e37-36,19.831730,29.453237,20.000000,2.000000
e37-38,19.831730,29.453237,20.000000,2.000000
e37-47,19.831730,29.453237,25.000000,2.500000
e38-28,19.831730,29.453237,20.000000,2.000000
e38-37,19.831730,29.453237,25.000000,2.500000
e38-39,19.831730,29.453237,15.000000,1.500000
e38-48,19.831730,29.453237,20.000000,2.000000
e39-29,19.831730,29.453237,20.000000,2.000000
e39-38,19.831730,29.453237,25.000000,2.500000
e39-49,19.831730,29.453237,20.000000,2.000000
e4-14,19.831730,29.453237,20.000000,2.000000
e4-3,19.831730,29.453237,15.000000,1.500000
e4-5,19.831730,29.453237,20.000000,2.000000
e40-30,19.831730,29.453237,25.000000,2.500000
e40-41,19.831730,29.453237,25.000000,2.500000
e40-50,19.831730,29.453237,20.000000,2.000000
e41-31,19.831730,29.453237,25.000000,2.500000
e41-40,19.831730,29.453237,20.000000,2.000000
e41-42,19.831730,29.453237,20.000000,2.000000
e41-51,19.831730,29.453237,20.000000,2.000000
e42-32,19.831730,29.453237,15.000000,1.500000
e42-41,19.831730,29.453237,20.000000,2.000000
e42-43,19.831730,29.453237,15.000000,1.500000
e42-52,19.831730,29.453237,15.000000,1.500000
e43-33,19.831730,29.453237,25.000000,2.500000
e43-42,19.831730,29.453237,15.000000,1.500000
e43-44,19.831730,29.453237,15.000000,1.500000
e43-53,19.831730,29.453237,15.000000,1.500000
e44-34,19.831730,29.453237,20.000000,2.000000
e44-43,19.831730,29.453237,15.000000,1.500000
e44-45,19.831730,29.453237,20.000000,2.000000
e44-54,19.831730,29.453237,25.000000,2.500000
e45-35,19.831730,29.453237,15.000000,1.500000
e45-44,19.831730,29.453237,15.000000,1.500000
e45-46,19.831730,29.453237,15.000000,1.500000
e45-55,19.831730,29.453237,15.000000,1.500000
e46-36,19.831730,29.453237,20.000000,2.000000
e46-45,19.831730,29.453237,15.000000,1.500000
e46-47,19.831730,29.453237,25.000000,0.000000
e46-56,19.831730,29.453237,25.000000,2.500000
e47-37,19.831730,29.453237,20.000000,2.000000
e47-46,19.831730,29.453237,20.000000,2.000000
e47-48,19.831730,29.453237,15.000000,1.500000
e47-57,19.831730,29.453237,25.000000,2.500000
e48-38,19.831730,29.453237,15.000000,0.000000
e48-47,19.831730,29.453237,20.000000,2.000000
