Agent,w_0,w_1,w_2,w_3
agent_0,0.585710,0.649552,0.510529,0.000000
agent_1,0.741432,0.770751,0.403371,0.000000
agent_2,0.914467,0.877779,0.471616,0.571508
agent_3,0.575199,0.966958,0.466317,0.260919
agent_4,0.525475,0.741567,0.527853,0.261184
agent_5,0.501298,0.856700,0.458596,0.444863
agent_6,0.378682,0.781507,0.512804,0.627548
agent_7,0.686595,0.845157,0.379640,0.000000
agent_8,0.705771,0.908032,0.488112,0.014971
agent_9,0.613674,0.669261,0.517705,0.565487
agent_10,0.490788,0.844980,0.371855,0.214014
agent_11,0.494569,0.885872,0.317801,1.000000
agent_12,0.794908,0.891803,0.428075,0.328004
agent_13,0.705350,0.933532,0.599380,0.000000
agent_14,0.690195,0.584943,0.292221,0.000000
agent_15,0.577844,0.776524,0.390296,0.000000
agent_16,0.595787,0.715641,0.366440,0.354817
agent_17,0.662149,0.982338,0.253872,0.000000
agent_18,0.540021,0.607287,0.310747,0.238918
agent_19,0.509467,1.000000,0.349459,0.000000
agent_20,0.519821,0.887315,0.515341,0.614174
agent_21,0.530242,0.850535,0.449431,0.401800
agent_22,0.597996,0.892156,0.600960,0.222967
agent_23,0.732695,0.714984,0.304863,0.000000
agent_24,0.507662,0.717675,0.451121,0.873002
agent_25,0.676254,0.773741,0.421451,0.000000
agent_26,0.667187,0.717004,0.339461,0.070696
agent_27,0.805004,0.581069,0.457789,0.000000
agent_28,0.389142,0.751917,0.264642,0.000000
agent_29,0.425817,0.723741,0.508989,0.611921
agent_30,0.544439,0.855248,0.361695,0.553177
agent_31,0.441630,0.936874,0.279119,0.597454
agent_32,0.678354,0.783370,0.511924,0.580930
agent_33,0.443748,0.804134,0.498909,0.363717
agent_34,0.660381,0.813821,0.606445,0.507723
agent_35,0.666774,0.691124,0.326542,0.327886
agent_36,0.509796,0.853354,0.385089,0.060800
agent_37,0.564763,0.759056,0.460422,0.697810
agent_38,0.670818,0.878326,0.321139,0.435391
agent_39,0.510301,0.781590,0.262810,0.283164
agent_40,0.707530,0.768038,0.141132,0.605195
agent_41,0.605056,0.754838,0.134194,1.000000
agent_42,0.550695,0.629699,0.392700,0.000000
agent_43,0.709393,0.787634,0.431811,0.000000
agent_44,0.463675,0.801005,0.435985,0.000000
agent_45,0.642326,0.808366,0.511014,0.000000
agent_46,0.705555,0.875974,0.555464,0.000000
agent_47,0.603250,0.743174,0.407306,0.000000
agent_48,0.622800,0.935977,0.328087,0.187166
agent_49,0.428381,0.890727,0.373156,0.000000
agent_50,0.629909,0.859722,0.540923,0.000000
agent_51,0.672557,0.731161,0.267561,0.247175
agent_52,0.651857,0.855903,0.436572,0.174440
agent_53,0.733652,0.837604,0.267536,0.127404
agent_54,0.668223,0.941315,0.460166,0.579039
agent_55,0.591821,0.857863,0.398259,0.149718
agent_56,0.475926,0.872580,0.240986,0.000000
agent_57,0.632461,0.759797,0.389999,0.714170
agent_58,0.583019,1.000000,0.357366,0.743414
agent_59,0.578471,0.963213,0.411507,0.228499
agent_60,0.730152,0.797427,0.399884,0.000000
agent_61,0.619517,0.869552,0.213452,0.734180
agent_62,0.449616,0.885946,0.484422,0.784425
agent_63,0.478519,0.761934,0.397135,0.079494
agent_64,0.553238,0.828261,0.676920,0.834020
agent_65,0.559369,0.795121,0.484859,0.004419
agent_66,0.657381,0.933427,0.432176,0.505824
agent_67,0.497344,0.820862,0.589971,0.400422
agent_68,0.629049,0.845311,0.508132,0.726742
agent_69,0.531001,0.670728,0.406646,0.510003
agent_70,0.447509,0.765606,0.543282,0.000000
agent_71,0.574240,0.798023,0.435595,0.000000
agent_72,0.647032,1.000000,0.535509,0.665862
agent_73,0.475043,0.822490,0.596344,0.000000
agent_74,0.427562,0.939491,0.453435,0.000000
agent_75,0.618839,0.764314,0.355075,0.292403
agent_76,0.671702,0.874474,0.508036,0.000000
agent_77,0.653855,0.894099,0.553072,0.180136
agent_78,0.462653,0.702950,0.320052,0.136214
